2026-06-16T17:03:46Z | CRITICAL | EVNT_042 | Port:9277 | PID:18917 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-06-16T17:03:46Z | CRITICAL | EVNT_042 | Port:58986 | PID:20055 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-06-16T18:37:12Z | CRITICAL | EVNT_042 | Port:9277 | PID:24384 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-06-16T18:37:15Z | CRITICAL | EVNT_042 | Port:9277 | PID:24396 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-06-16T18:37:30Z | CRITICAL | EVNT_042 | Port:9277 | PID:24854 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-06-19T08:40:53Z | CRITICAL | EVNT_042 | Port:49631 | PID:15628 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T10:05:45Z | CRITICAL | EVNT_042 | Port:44168 | PID:29622 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T10:11:27Z | CRITICAL | EVNT_042 | Port:9277 | PID:30602 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T10:11:33Z | CRITICAL | EVNT_042 | Port:9277 | PID:30793 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T10:11:45Z | CRITICAL | EVNT_042 | Port:9277 | PID:31010 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T10:11:55Z | CRITICAL | EVNT_042 | Port:9277 | PID:31520 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T10:12:16Z | CRITICAL | EVNT_042 | Port:9277 | PID:31820 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T11:55:18Z | CRITICAL | EVNT_042 | Port:9277 | PID:33899 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:11Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:14Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:18Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:21Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:24Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:27Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:30Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:33Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:36Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:39Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:42Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:45Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:49Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:52Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:55Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:14:58Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:01Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:04Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:07Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:10Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:14Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:17Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
